"Order.ID","Sales"
"CA-2015-145317",23661.228
"CA-2017-118689",18336.74
"CA-2018-140151",14052.48
"CA-2018-127180",13716.458
"CA-2015-139892",10539.896
"CA-2018-166709",10499.97
"CA-2015-116904",9900.19
"CA-2017-117121",9892.74
"US-2017-107440",9135.19
"CA-2017-158841",8805.04
"CA-2017-143714",8539.02
"CA-2015-143917",8319.29
"US-2018-168116",8167.42
"US-2016-126977",7678.228
"CA-2018-100111",7359.918
"CA-2015-145541",6999.96
"CA-2016-145352",6412.77
"CA-2015-128209",6160.616
"US-2017-143819",6125.822
"CA-2016-114811",5850.514
"CA-2018-138289",5802.7
"US-2015-106992",5579.94
"US-2017-140158",5549.41
"CA-2018-143112",5509.142
"CA-2018-135909",5325.884
"CA-2018-149881",5282.648
"CA-2017-108196",5016.549
"CA-2017-136301",4940.87
"US-2016-128587",4909.61
"CA-2017-128818",4835.976
"CA-2017-100300",4823.09
"CA-2015-164973",4807.372
"CA-2018-158379",4749.327
"CA-2017-138478",4685.076
"CA-2015-168494",4630.5105
"US-2018-167402",4619.33
"CA-2016-111829",4607.27
"CA-2018-129021",4590.344
"CA-2015-144624",4548.81
"CA-2017-129714",4438.686
"CA-2018-118892",4416.174
"CA-2017-103982",4406.072
"CA-2015-167199",4374.88
"US-2018-102183",4337.64
"CA-2017-113831",4317.3
"CA-2016-116638",4297.644
"CA-2015-160766",4283.792
"CA-2015-102988",4251.92
"CA-2016-137113",4210.65
"CA-2016-147830",4190.206
"CA-2018-127432",4189.38
"CA-2017-159016",4173.812
"CA-2018-168109",4150.972
"CA-2017-107104",4104.174
"CA-2016-120782",3999.702
"CA-2017-122903",3963.57
"CA-2018-117457",3955.507
"CA-2016-149846",3862.098
"CA-2018-119809",3859.488
"CA-2015-116246",3785.292
"CA-2015-163223",3769.56
"CA-2016-102491",3747.93
"CA-2015-131926",3745.63
"CA-2018-102204",3740.51
"CA-2015-115812",3714.304
"CA-2016-158421",3631.96
"US-2018-110576",3629.936
"CA-2017-124590",3588.096
"CA-2017-160717",3528.488
"CA-2015-125997",3519.37
"CA-2018-165323",3505.84
"CA-2018-137596",3480.96
"US-2015-148838",3455.13
"CA-2016-124891",3419.872
"CA-2018-166093",3397.732
"CA-2016-131338",3385.614
"US-2016-160857",3384.518
"CA-2017-169663",3384.45
"CA-2018-133865",3359.952
"CA-2017-145625",3354.98
"US-2017-126452",3339.122
"CA-2015-117639",3333.9
"US-2016-134558",3332.974
"US-2016-150630",3329.434
"CA-2018-122490",3321.278
"CA-2018-143567",3291.07
"CA-2015-144414",3290.516
"CA-2016-135580",3251.34
"US-2015-131275",3247.158
"CA-2017-133711",3236.41
"US-2016-163825",3184.356
"CA-2016-121720",3165.744
"CA-2017-135265",3136.868
"CA-2015-119375",3116.49
"CA-2018-133263",3098.61
"CA-2018-141439",3083.94
"CA-2018-159366",3059.982
"CA-2018-152912",3013.78
"US-2018-105935",3002.65
